Country,Sex Ratio,GDP per Capita,Unique Top Artists
Argentina,"[0.8360655737704918, 0.14754098360655737, 0.0, 0.01639344262295082]",26506,"{'DJ Tao', 'Alejo Isakk', 'Nysix Music', 'El negro tecla', 'Los Palmeras', 'Emanero', 'Myke Towers', 'Jere Klein', ""Hernan y La Champion's Liga"", 'Locura Mix', 'DobleP', 'Nicki Nicole', 'Alan Gomez', 'Bad Bunny', 'Feid', 'Duki', 'LIT killah', 'Maria Becerra', 'The La Planta', 'Rusherking', 'Emilia', 'Darell', 'Enrique Iglesias', 'Grupo Frontera', 'iñigo quintero', 'Tiago PZK', 'Gusty dj', 'Sayian Jimmy', 'Gittobeatz', 'YSY A', 'Mesita', ""La K'onga"", 'FMK', 'Quevedo', 'Marka Akme', 'Milo j', 'Migrantes', 'TINI', 'Bizarrap', 'Peipper', 'Ke Personajes', 'Ulises Bueno', 'Callejero Fino', 'Onda Sabanera', 'Tokischa', 'Abel Pintos', 'Peso Pluma', 'Jhayco', 'Bhavi', 'BM', 'Big One', 'Luck Ra', 'Bad Gyal', 'LUDMILLA', 'Lauty Gram', 'Young Miko', 'Taiu', 'Zecca', 'KAROL G', 'Los Ángeles Azules', 'Damas Gratis'}"
Australia,"[0.5625, 0.3958333333333333, 0.0, 0.041666666666666664]",64675,"{'Olivia Rodrigo', 'Noah Kahan', 'Jung Kook', 'Post Malone', 'Latto', 'Madonna', 'RAYE', 'SZA', 'Dave', 'Vance Joy', 'Nicki Minaj', 'Kenya Grace', 'Gunna', 'Playboi Carti', 'Harry Styles', 'OneRepublic', 'Miley Cyrus', 'The Killers', 'Lord Huron', 'Sexyy Red', 'Frank Ocean', 'Tate McRae', 'Tyla', 'D-Block Europe', 'Drake', 'The Weeknd', 'Dua Lipa', 'David Kushner', 'Central Cee', 'Selena Gomez', 'Aqua', 'Fleetwood Mac', 'Morgan Wallen', 'Troye Sivan', 'Mitski', 'J. Cole', 'Rema', 'Ice Spice', 'Luke Combs', 'Paul Russell', 'Kacey Musgraves', 'Doja Cat', 'The Goo Goo Dolls', 'Billie Eilish', 'cassö', 'Taylor Swift', 'Zach Bryan', 'The Beatles'}"
Austria,"[0.7671232876712328, 0.2054794520547945, 0.0273972602739726, 0.0]",69069,"{'Olivia Rodrigo', 'Jung Kook', 'The Neighbourhood', 'Wham!', 'Ellice', 'Latto', 'Peter Plate', 'RAYE', 'BENNETT', 'Old Jim', 'erobé', 'Lyfrix', 'Sia', 'Dave', 'Macklemore', 'Octavian', 'Niclov', 'Pashanim', 'Kenya Grace', 'badchieff', 'Joker Bra', 'Amaru', 'Bonez MC', 'SIRA', 'Taylor Swift', 'Bausa', 'Ulf Leo Sommer', 'Mariah Carey', 'Monk', 'BHZ', 'KXXMA', 'FiNCH', 'Lord Huron', 'Milano', 'Capital Bra', 'Ryan Lewis', 'RAF Camora', 'iñigo quintero', 'Udo Lindenberg', 'David Guetta', 'AYLIVA', 'Tate McRae', 'Ski Aggu', 'Gzuz', 'D-Block Europe', 'Eminem', 'Tom Odell', 'David Kushner', 'Central Cee', 'Creeds', 'SUICIDAL-IDOL', 'Enny-Mae', 'Paul', 'reezy', 'Macklemore & Ryan Lewis', 'Gringo Bamba', 'Tream', 'Luciano', '01099', 'Mitski', 'Bebe Rexha', 'AUT of ORDA', 'Apache 207', 'Niklas Dee', 'Ray Dalton', 'Ion Miles', 'Jazeek', 'Doja Cat', 'Baron', 'cassö', 'The Kolors', 'Luca-Dante Spadafora', 'The Beatles'}"
Belarus,"[0.72, 0.2, 0.08, 0.0]",24017,"{'Jung Kook', 'uglystephan', 'Yanix', 'Latto', 'LSP', 'Три дня дождя', 'Skryptonite', 'LIL KRYSTALLL', 'nkeeei', 'две тысячи ярдов', 'FACE', 'Violetta Sokolova', 'SPLYXER', 'Quest Pistols', 'Slowboy', 'MONA', 'FRIENDLY THUG 52 NGG', 'Big Baby Tape', 'Karna.val', 'Korol i Shut', 'Катя Самбука', 'shadowraze', 'zaichkou888', 'Max Korzh', 'V', 'kizaru', 'Groove Dealers', 'Heronwater', 'xxxmanera', 'Voskresenskii', 'NEWLIGHTCHILD', 'IVOXYGEN', 'Squirrel Flower', 'Memphis Cult', 'BUSHIDO ZHO', 'THRILL PILL', 'Jack Harlow', 'Кишлак', 'Moya Mishel', 'FEDUK', 'Toxi$', 'uniqe', 'Дора', 'KRBK', 'ANNA ASTI', 'Aarne', 'ARTEM SHILOVETS', 'Chief Keef', 'Doja Cat', 'Scally Milano'}"
Belgium,"[0.6567164179104478, 0.3283582089552239, 0.014925373134328358, 0.0]",65813,"{'Adele', 'Olivia Rodrigo', ""Heuss L'enfoiré"", 'Peggy Gou', 'RAYE', 'BENNETT', 'Old Jim', 'Khalid', 'Dave', 'Lewis Capaldi', 'Metejoor', 'Macklemore', 'Vance Joy', 'Coldplay', 'Loreen', 'Kenya Grace', 'Favé', 'Abou Debeing', 'Sam Smith', 'Harry Styles', 'Mariah Carey', 'Miley Cyrus', 'a-ha', 'Jungeli', 'Lord Huron', 'Ryan Lewis', 'iñigo quintero', 'David Guetta', 'Tate McRae', 'Kungs', 'Tyla', 'D-Block Europe', 'SDM', 'Imen Es', 'Tom Odell', 'Dua Lipa', 'David Kushner', 'Central Cee', 'Lost Frequencies', 'Lossa', 'Creeds', 'Purple Disco Machine', 'Enny-Mae', 'Macklemore & Ryan Lewis', 'Bebe Rexha', 'Mitski', 'Alonzo', 'Pommelien Thijs', 'Gazo', 'Arctic Monkeys', 'Hannah Mae', 'Niklas Dee', 'Teddy Swims', 'Ray Dalton', 'Soolking', 'Julian Perretta', 'Norma Jean Martine', 'Calvin Harris', 'Bill Withers', 'Hozier', 'Doja Cat', 'KeBlack', 'Billie Eilish', 'cassö', 'Taylor Swift', 'Ofenbach', 'The Beatles'}"
Bolivia,"[0.84, 0.14, 0.0, 0.02]",10340,"{'Jung Kook', 'Plan B', 'Latto', 'Myke Towers', 'Chino Pacas', 'Calle 24', 'Ozuna', 'Eslabon Armado', 'Marshmello', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Yng Lvcas', 'Fuerza Regida', 'Manuel Turizo', 'Carin Leon', 'Maria Becerra', 'Tainy', 'Shakira', 'Jimin', 'Mora', 'Darell', 'Grupo Frontera', 'iñigo quintero', 'Gabito Ballesteros', ""La K'onga"", 'FMK', 'Quevedo', 'Milo j', 'Onda Sabanera', 'Ke Personajes', 'Bizarrap', 'KEVIN ROLDAN', 'Piso 21', 'Darkiel', 'Tokischa', 'Peso Pluma', 'Junior H', 'Jack Harlow', 'Jhayco', 'Big One', 'Yahritza Y Su Esencia', 'Luck Ra', 'Bad Gyal', 'Maluma', 'Young Miko', 'Taiu', 'KAROL G', 'Los Ángeles Azules', 'Damas Gratis'}"
Brazil,"[0.8375, 0.125, 0.025, 0.0125]",20079,"{'Mc Menor Thalis', 'LeoZera', 'Mc Dena', 'Pedro Lotto', 'ÉaBest', 'Adriano Rhod', 'MC Ryan SP', 'Flora Matos', 'Juliette', 'Marshmello', 'MC Kevin o Chris', 'Fepache', 'Mc IG', 'MC Maneirinho', 'Simone Mendes', 'Mc Karol', 'Kadu Martins', 'Mc Mika', 'João Gomes', 'MC GH do 7', 'GREGO', 'TrapLaudo', 'DJ Arana', 'Mari Fernandez', 'Mc Don Juan', 'Prod Malax', 'NATTAN', 'MC Rhamon', 'Triz', 'Guilherme & Benuto', 'Maiara & Maraisa', 'Ana Castela', 'Bvga Beatz', 'Love Funk', 'Luan Santana', 'Tropa do Bruxo', 'Israel & Rodolffo', 'Veigh', 'Diego & Victor Hugo', 'Zé Neto & Cristiano', 'Matheus Fernandes', 'MC GP', 'MC K.K', 'Manu', 'Gabb MC', 'Matheus & Kauan', 'Marília Mendonça', 'DJ Matt D', 'Vulgo FK', 'Dj GBR', 'Mc Daniel', 'MC Tigrão', 'Mc Luki', 'AgroPlay', 'DENNIS', 'MC Rogerinho', 'Hugo & Guilherme', 'Felipe Amorim', 'Luan Pereira', 'Mc Livinho', 'SMU', 'Dj Nk Da Serra', 'Luísa Sonza', 'Wesley Safadão', 'MC Bruno MS', 'Grupo Menos É Mais', 'DJ Glenner', 'Supernova Ent', 'DJ THG', 'Dj Hm Oliveira', 'MC PH', 'Mc Kadu', 'Mc Danone', 'Gustavo Mioto', 'Henrique & Juliano', 'Paulo Pires', 'DJ Ws da Igrejinha', 'Gusttavo Lima', 'DJ Oreia', 'Mc Davi'}"
Bulgaria,"[0.6296296296296297, 0.37037037037037035, 0.0, 0.0]",33780,"{'Medi', 'Jung Kook', 'Emanuela', 'Don Toliver', 'Latto', 'Madonna', 'Ivayla', 'SIMONA', 'Marso', 'Torino', 'Pashata', 'Kamelia', 'Galena', 'Kenya Grace', 'Gunna', 'Playboi Carti', 'Galin', 'Toni Storaro', 'Molec', 'Travis Scott', 'Yeat', 'Emilia', 'Kotenceto', 'DENIS TEOFIKOV', 'Djordan', 'Emil TRF', 'Daft Punk', 'Tate McRae', 'Tyla', 'Future', 'Drake', 'The Weeknd', 'Ilian Boyd', 'V:RGO', '21 Savage', 'Dimoff', 'Metro Boomin', 'Dessita', 'Mitski', 'Alisia', 'Emrah', 'FYRE', 'Mom4eto', 'Azis', 'Arctic Monkeys', 'Jack Harlow', 'BM', 'Preslava', 'MBT', 'Aristos Constantinou', 'Tsvetelina Yaneva', 'Doja Cat', 'Trap19 Connection', 'Yoana Sashova'}"
Canada,"[0.5789473684210527, 0.39473684210526316, 0.0, 0.02631578947368421]",59813,"{'Olivia Rodrigo', 'Noah Kahan', 'Jung Kook', 'The Neighbourhood', 'Latto', 'Dave', 'SZA', 'Tory Lanez', 'Lil Tecca', 'Bad Bunny', 'Gunna', 'Kenya Grace', 'Taylor Swift', 'Travis Scott', 'Mariah Carey', 'Yeat', 'Bing Crosby', 'Sexyy Red', 'Tate McRae', 'Tyla', 'Drake', 'David Kushner', 'Central Cee', 'Selena Gomez', 'Morgan Wallen', 'Ken Darby Singers', 'Mitski', 'J. Cole', 'Rema', 'Teddy Swims', 'Luke Combs', 'Kacey Musgraves', 'Doja Cat', 'Billie Eilish', 'Dua Lipa', 'Zach Bryan', 'John Scott Trotter & His Orchestra', 'The Beatles'}"
Chile,"[0.8709677419354839, 0.11290322580645161, 0.0, 0.016129032258064516]",29935,"{'King Savagge', 'Ak4:20', 'Mambo Kingz', 'Mateo on the Beatz', 'Nysix Music', 'Jairo Vera', 'Los Patos Feos Inc', 'Chiko Alfa', 'Best', 'Rauw Alejandro', 'Plan B', 'Myke Towers', 'Pailita', 'Jere Klein', 'Anuel AA', 'Paolo Pimp', 'Pablo Chill-E', 'Gino Mella', 'Nicki Nicole', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Nes', 'Carin Leon', 'Julianno Sosa', 'Nickoog Clk', 'Wolfine', 'Yan Block', 'DJ Luian', 'Shakira', 'Darell', 'Grupo Frontera', 'iñigo quintero', 'Cris Mj', 'Sayian Jimmy', 'Gittobeatz', 'El Jordan 23', 'Guelo Star', 'Bayriton', 'Katteyes', 'Marcianeke', 'FMK', 'Quevedo', 'Ryan Castro', 'Milo j', 'Ke Personajes', 'Bizarrap', 'Ñejo', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Big One', 'Bad Gyal', 'Adan La Amenaza', 'Maluma', 'Young Miko', 'Taiu', 'Kidd Voodoo', 'Malito Malozo', 'KAROL G', 'Fran C', 'Lucky Brown'}"
